SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1114 2nd Ave N,Seattle,WA,98109,2195000,3,2.0,Queen Anne,2740,5220,1938,3,801,,Active,,,https://www.redfin.com/WA/Seattle/1114-2nd-Ave-N-98109/home/132776,NWMLS as Distributed by MLS Grid,2490424,N,Y,47.629461,-122.3525248
MLS Listing,,Condo/Co-op,1920 4th Ave #2605,Seattle,WA,98101,1400000,2,2.5,Belltown,1883,,2010,4,743,1964,Active,,,https://www.redfin.com/WA/Seattle/1920-4th-Ave-98101/unit-2605/home/28624469,NWMLS as Distributed by MLS Grid,2496120,N,Y,47.612987,-122.339306
MLS Listing,,Single Family Residential,8053 Brooklyn Ave NE,Seattle,WA,98115,975000,3,1.0,Northgate,2030,3760,1925,4,480,,Active,,,https://www.redfin.com/WA/Seattle/8053-Brooklyn-Ave-NE-98115/home/108964,NWMLS as Distributed by MLS Grid,2501965,N,Y,47.6882152,-122.3145911
MLS Listing,,Condo/Co-op,4226 Dayton Ave N #202,Seattle,WA,98103,500000,2,2.0,Fremont,822,,1979,4,608,448,Active,,,https://www.redfin.com/WA/Seattle/4226-Dayton-Ave-N-98103/unit-202/home/51660,NWMLS as Distributed by MLS Grid,2501262,N,Y,47.6585377,-122.3517893
MLS Listing,,Single Family Residential,4146 SW Arroyo Dr,Seattle,WA,98146,1695000,3,3.0,Arroyo,2450,13250,1953,4,692,,Active,,,https://www.redfin.com/WA/Seattle/4146-SW-Arroyo-Dr-98146/home/156901,NWMLS as Distributed by MLS Grid,2498981,N,Y,47.5034561,-122.3853682
MLS Listing,,Condo/Co-op,820 Blanchard St #1507,Seattle,WA,98121,999000,2,2.0,Belltown,1279,,2009,4,781,1652,Active,,,https://www.redfin.com/WA/Seattle/820-Blanchard-St-98121/unit-1507/home/28624007,NWMLS as Distributed by MLS Grid,2498169,N,Y,47.618062,-122.339141
MLS Listing,,Single Family Residential,9009 30th Ave NW,Seattle,WA,98117,1299000,4,3.0,North Beach,2260,6680,1963,4,575,,Active,,,https://www.redfin.com/WA/Seattle/9009-30th-Ave-NW-98117/home/164568,NWMLS as Distributed by MLS Grid,2499924,N,Y,47.6949885,-122.3959944
MLS Listing,,Single Family Residential,851 NW 56th St,Seattle,WA,98107,1199000,4,3.0,Ballard,2100,4000,1926,4,571,,Active,,,https://www.redfin.com/WA/Seattle/851-NW-56th-St-98107/home/494233,NWMLS as Distributed by MLS Grid,2500130,N,Y,47.6692141,-122.3684058
MLS Listing,,Single Family Residential,7758 Highland Park Way SW,Seattle,WA,98106,599000,2,2.0,Highland Park,1480,4160,1948,4,405,,Active,,,https://www.redfin.com/WA/Seattle/7758-Highland-Park-Way-SW-98106/home/474673,NWMLS as Distributed by MLS Grid,2498954,N,Y,47.5329613,-122.3465563
MLS Listing,,Single Family Residential,2333 Federal Ave E,Seattle,WA,98102,2250000,4,3.5,Broadway,3190,5000,1912,5,705,,Active,,,https://www.redfin.com/WA/Seattle/2333-Federal-Ave-E-98102/home/135323,NWMLS as Distributed by MLS Grid,2484794,N,Y,47.6405632,-122.319358
MLS Listing,,Townhouse,2441 NW 61st St Unit C,Seattle,WA,98107,689000,2,2.0,Ballard,1080,955,2021,5,638,,Active,April-11-2026 11:00 AM,April-11-2026 01:00 PM,https://www.redfin.com/WA/Seattle/2441-NW-61st-St-98107/unit-C/home/201088524,NWMLS as Distributed by MLS Grid,2498722,N,Y,47.6728232,-122.3892776
MLS Listing,,Condo/Co-op,1408 12th Ave #201,Seattle,WA,98122,620000,1,1.0,Capitol Hill,879,,2007,10,705,845,Active,,,https://www.redfin.com/WA/Seattle/1408-12th-Ave-98122/unit-201/home/12536641,NWMLS as Distributed by MLS Grid,2496803,N,Y,47.6130989,-122.3165619
MLS Listing,,Single Family Residential,1601 E Jefferson St,Seattle,WA,98122,1450000,4,2.5,Central Area,2293,1917,2022,10,632,117,Active,,,https://www.redfin.com/WA/Seattle/1601-E-Jefferson-St-98122/home/22594317,NWMLS as Distributed by MLS Grid,2498706,N,Y,47.6059112,-122.3113844
MLS Listing,,Townhouse,1939 10th Ave W Unit B,Seattle,WA,98119,780000,2,2.5,Queen Anne,1310,1800,2006,11,595,,Active,,,https://www.redfin.com/WA/Seattle/1939-10th-Ave-W-98119/unit-B/home/8189671,NWMLS as Distributed by MLS Grid,2495659,N,Y,47.6371761,-122.3708611
MLS Listing,,Condo/Co-op,9242 Woodlawn Ave N Unit B,Seattle,WA,98103,465000,2,1.5,Licton Springs,934,,1995,11,498,476,Active,,,https://www.redfin.com/WA/Seattle/9242-Woodlawn-Ave-N-98103/unit-B/home/69867,NWMLS as Distributed by MLS Grid,2495339,N,Y,47.6972919,-122.3383841
MLS Listing,,Single Family Residential,3141 Broadway E,Seattle,WA,98102,1350000,3,2.0,Portage Bay,2060,3300,1918,11,655,,Active,,,https://www.redfin.com/WA/Seattle/3141-Broadway-E-98102/home/136889,NWMLS as Distributed by MLS Grid,2487773,N,Y,47.6498487,-122.3202602
MLS Listing,,Condo/Co-op,2331 42nd Ave SW #414,Seattle,WA,98116,325000,1,1.0,North Admiral,650,,2002,11,500,612,Active,,,https://www.redfin.com/WA/Seattle/2331-42nd-Ave-SW-98116/unit-414/home/72475,NWMLS as Distributed by MLS Grid,2495583,N,Y,47.5823835,-122.3853712
